,Date,Région,Total énergie soutirée (Wh)
467,2022-11-20,Hauts-de-France,48159.598152
468,2022-11-21,Centre-Val de Loire,26369.479005
469,2022-11-21,Hauts-de-France,49271.347015
470,2022-11-22,Centre-Val de Loire,26696.973171
471,2022-11-22,Hauts-de-France,49772.171601
472,2022-11-23,Centre-Val de Loire,26214.050823
473,2022-11-23,Hauts-de-France,48931.497513
474,2022-11-24,Centre-Val de Loire,25509.505869
475,2022-11-24,Hauts-de-France,47467.046065
476,2022-11-25,Centre-Val de Loire,25280.876307
477,2022-11-25,Hauts-de-France,47002.897618
478,2022-11-26,Centre-Val de Loire,27181.455578
479,2022-11-26,Hauts-de-France,50188.496864
480,2022-11-27,Centre-Val de Loire,27421.596121
481,2022-11-27,Hauts-de-France,50560.787607
482,2022-11-28,Centre-Val de Loire,26542.140539
483,2022-11-28,Hauts-de-France,48955.998433
484,2022-11-29,Centre-Val de Loire,27746.820421
485,2022-11-29,Hauts-de-France,51049.996376
486,2022-11-30,Centre-Val de Loire,29045.341925
487,2022-11-30,Hauts-de-France,53312.05031
488,2022-12-01,Centre-Val de Loire,30344.877819
489,2022-12-01,Hauts-de-France,55427.360342
490,2022-12-02,Centre-Val de Loire,31775.245415
491,2022-12-02,Hauts-de-France,57907.531128
492,2022-12-03,Centre-Val de Loire,33202.170598
493,2022-12-03,Hauts-de-France,60269.636287
494,2022-12-04,Centre-Val de Loire,33341.499204
495,2022-12-04,Hauts-de-France,60488.800199
496,2022-12-05,Centre-Val de Loire,33335.356246
497,2022-12-05,Hauts-de-France,60431.544522
498,2022-12-06,Centre-Val de Loire,33651.927463
499,2022-12-06,Hauts-de-France,60833.939486
500,2022-12-07,Centre-Val de Loire,34028.814448
501,2022-12-07,Hauts-de-France,61455.37005
502,2022-12-08,Centre-Val de Loire,34999.126651
503,2022-12-08,Hauts-de-France,62946.041486
504,2022-12-09,Centre-Val de Loire,35538.894908
505,2022-12-09,Hauts-de-France,63912.274338
506,2022-12-10,Centre-Val de Loire,37242.753345
507,2022-12-10,Hauts-de-France,66734.319145
508,2022-12-11,Centre-Val de Loire,39588.312369
509,2022-12-11,Hauts-de-France,70767.082088
510,2022-12-12,Centre-Val de Loire,40662.833568
511,2022-12-12,Hauts-de-France,72574.398434
512,2022-12-13,Centre-Val de Loire,40222.597116
513,2022-12-13,Hauts-de-France,71994.528645
514,2022-12-14,Centre-Val de Loire,37172.077701
515,2022-12-14,Hauts-de-France,66929.518269
516,2022-12-15,Centre-Val de Loire,36993.704578
517,2022-12-15,Hauts-de-France,66671.364167
518,2022-12-16,Centre-Val de Loire,37857.253066
519,2022-12-16,Hauts-de-France,68092.304195
520,2022-12-17,Centre-Val de Loire,41075.229482
521,2022-12-17,Hauts-de-France,73550.326747
522,2022-12-18,Centre-Val de Loire,40602.80886
523,2022-12-18,Hauts-de-France,72738.33487
524,2022-12-19,Centre-Val de Loire,32852.580782
525,2022-12-19,Hauts-de-France,59612.176544
526,2022-12-20,Centre-Val de Loire,28745.33034
527,2022-12-20,Hauts-de-France,52571.7327
528,2022-12-21,Centre-Val de Loire,27330.94865
529,2022-12-21,Hauts-de-France,50158.81626
530,2022-12-22,Centre-Val de Loire,26430.073338
531,2022-12-22,Hauts-de-France,48564.491259
532,2022-12-23,Centre-Val de Loire,25051.500934
533,2022-12-23,Hauts-de-France,46157.571461
534,2022-12-24,Centre-Val de Loire,25642.109676
535,2022-12-24,Hauts-de-France,47107.926184
536,2022-12-25,Centre-Val de Loire,24894.944389
537,2022-12-25,Hauts-de-France,45612.569626
538,2022-12-26,Centre-Val de Loire,25666.289657
539,2022-12-26,Hauts-de-France,47058.930455
540,2022-12-27,Centre-Val de Loire,28429.818505
541,2022-12-27,Hauts-de-France,51787.200277
542,2022-12-28,Centre-Val de Loire,28346.675936
543,2022-12-28,Hauts-de-France,51685.147099
544,2022-12-29,Centre-Val de Loire,27263.959451
545,2022-12-29,Hauts-de-France,49817.386178
546,2022-12-30,Centre-Val de Loire,27643.640319
547,2022-12-30,Hauts-de-France,50477.913663
548,2022-12-31,Centre-Val de Loire,25048.852315
549,2022-12-31,Hauts-de-France,46079.278661
550,2023-01-01,Centre-Val de Loire,23365.40432
551,2023-01-01,Hauts-de-France,43439.824423
552,2023-01-02,Centre-Val de Loire,24222.340127
553,2023-01-02,Hauts-de-France,45099.806817
